Équipement,Type,Geo Point,Geo Shape,Arrondissement,COG,Code_postal
CENTRE DE FORMATION D’APPRENTIS HORS AGRICULTURE,Enseignement,"43.29673664226409, 5.423952823304099","{""coordinates"": [5.423952823304099, 43.29673664226409], ""type"": ""Point""}",Marseille 12,13212,13012
ORTHOPHONISTE,Santé,"43.31173023532678, 5.463440051187342","{""coordinates"": [5.463440051187342, 43.31173023532678], ""type"": ""Point""}",Marseille 12,13212,13012
RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE,Services aux particuliers,"43.30752049638579, 5.467540958419814","{""coordinates"": [5.467540958419814, 43.30752049638579], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.31291332198308, 5.409814619838385","{""coordinates"": [5.409814619838385, 43.31291332198308], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.32067618313422, 5.430062975593","{""coordinates"": [5.430062975593, 43.32067618313422], ""type"": ""Point""}",Marseille 12,13212,13012
MÉDECIN GÉNÉRALISTE,Santé,"43.31368934301291, 5.411358384126022","{""coordinates"": [5.411358384126022, 43.31368934301291], ""type"": ""Point""}",Marseille 12,13212,13012
MAGASIN DE VÊTEMENTS,Commerces,"43.31351435487519, 5.415983126609611","{""coordinates"": [5.415983126609611, 43.31351435487519], ""type"": ""Point""}",Marseille 12,13212,13012
COIFFURE,Services aux particuliers,"43.3191681612889, 5.439453222723822","{""coordinates"": [5.439453222723822, 43.3191681612889], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE DE TRAVAIL TEMPORAIRE,Services aux particuliers,"43.29674350406357, 5.423967897799518","{""coordinates"": [5.423967897799518, 43.29674350406357], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.31990180384039, 5.439630716352363","{""coordinates"": [5.439630716352363, 43.31990180384039], ""type"": ""Point""}",Marseille 12,13212,13012
TAXI-VTC,Transports et déplacements,"43.30064293997164, 5.433393588823327","{""coordinates"": [5.433393588823327, 43.30064293997164], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.30857411472403, 5.4237255492116","{""coordinates"": [5.4237255492116, 43.30857411472403], ""type"": ""Point""}",Marseille 12,13212,13012
ORTHOPHONISTE,Santé,"43.30307148876009, 5.455420058463099","{""coordinates"": [5.455420058463099, 43.30307148876009], ""type"": ""Point""}",Marseille 12,13212,13012
PLÂTRIER PEINTRE,Services aux particuliers,"43.30363333235745, 5.473841518840088","{""coordinates"": [5.473841518840088, 43.30363333235745], ""type"": ""Point""}",Marseille 12,13212,13012
MÉDECIN GÉNÉRALISTE,Santé,"43.31422808629707, 5.413854376321089","{""coordinates"": [5.413854376321089, 43.31422808629707], ""type"": ""Point""}",Marseille 12,13212,13012
AMBULANCE,Santé,"43.308161737795366, 5.436815316325948","{""coordinates"": [5.436815316325948, 43.308161737795366], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.31265648013368, 5.412049500830566","{""coordinates"": [5.412049500830566, 43.31265648013368], ""type"": ""Point""}",Marseille 12,13212,13012
MAISON DE SANTÉ PLURIDISCIPLINAIRE,Santé,"43.32258995713943, 5.436126084729828","{""coordinates"": [5.436126084729828, 43.32258995713943], ""type"": ""Point""}",Marseille 12,13212,13012
BUREAU DE POSTE,Services aux particuliers,"43.304853761988326, 5.41715640924303","{""coordinates"": [5.41715640924303, 43.304853761988326], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN RADIODIAGNOSTIC ET IMAGERIE MÉDICALE,Santé,"43.30442233063615, 5.41292190976665","{""coordinates"": [5.41292190976665, 43.30442233063615], ""type"": ""Point""}",Marseille 12,13212,13012
PLOMBIER COUVREUR CHAUFFAGISTE,Services aux particuliers,"43.297180573641036, 5.416426874724793","{""coordinates"": [5.416426874724793, 43.297180573641036], ""type"": ""Point""}",Marseille 12,13212,13012
SAGE-FEMME,Santé,"43.31368934301291, 5.411358384126022","{""coordinates"": [5.411358384126022, 43.31368934301291], ""type"": ""Point""}",Marseille 12,13212,13012
DROGUERIE QUINCAILLERIE BRICOLAGE,Commerces,"43.30752049638579, 5.467540958419814","{""coordinates"": [5.467540958419814, 43.30752049638579], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.303224181916725, 5.45099649198248","{""coordinates"": [5.45099649198248, 43.303224181916725], ""type"": ""Point""}",Marseille 12,13212,13012
FLEURISTE-JARDINERIE-ANIMALERIE,Commerces,"43.31360304372986, 5.413189014453993","{""coordinates"": [5.413189014453993, 43.31360304372986], ""type"": ""Point""}",Marseille 12,13212,13012
MAÇON,Services aux particuliers,"43.31780037004719, 5.446990165476635","{""coordinates"": [5.446990165476635, 43.31780037004719], ""type"": ""Point""}",Marseille 12,13212,13012
BASSIN DE NATATION,"Sports, loisirs et culture","43.31021620251601, 5.427666110227953","{""coordinates"": [5.427666110227953, 43.31021620251601], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE DE VOYAGE,Tourisme,"43.30322866062779, 5.417385257895238","{""coordinates"": [5.417385257895238, 43.30322866062779], ""type"": ""Point""}",Marseille 12,13212,13012
MÉDECIN GÉNÉRALISTE,Santé,"43.313286631916256, 5.409415239089749","{""coordinates"": [5.409415239089749, 43.313286631916256], ""type"": ""Point""}",Marseille 12,13212,13012
SPÉCIALISTE EN GYNÉCOLOGIE (MÉDICALE ET/OU OBSTÉTRIQUE),Santé,"43.31368934301291, 5.411358384126022","{""coordinates"": [5.411358384126022, 43.31368934301291], ""type"": ""Point""}",Marseille 12,13212,13012
